"id","trade_code","date","high","low","open","close","volume"
"87","AAMRATECH","2020-08-04","25.6","24.5","25.3","24.8","87"
"88","AAMRATECH","2020-08-03","25.6","24.7","25.5","25.3","90"
"89","AAMRATECH","2020-07-30","25.9","24.5","25","25.4","216"
"90","AAMRATECH","2020-07-29","25.2","24.1","24.1","25","126"
"91","AAMRATECH","2020-07-28","24","23.5","23.7","23.9","68"
"92","AAMRATECH","2020-07-27","23.8","23.4","23.4","23.5","33"
"93","AAMRATECH","2020-07-26","23.9","23.2","23.5","23.4","51"
"94","AAMRATECH","2020-07-23","23.7","23","23","23.5","28"
"95","AAMRATECH","2020-07-22","23.6","23","23.5","23.1","33"
"96","AAMRATECH","2020-07-21","23.1","23","23","23","26"
"97","AAMRATECH","2020-07-20","23","23","23","23","12"
"98","AAMRATECH","2020-07-19","23","23","23","23","6"
"99","AAMRATECH","2020-07-16","23","23","23","23","7"
"100","AAMRATECH","2020-07-15","23","23","23","23","4"
"101","AAMRATECH","2020-07-14","23","23","23","23","2"
"102","AAMRATECH","2020-07-13","23.4","23","23.1","23.1","77"
"103","AAMRATECH","2020-07-12","23.9","23","23.2","23.1","22"
"104","AAMRATECH","2020-07-09","23.8","23","23","23.1","44"
"105","AAMRATECH","2020-07-08","23","23","23","23","3"
"106","AAMRATECH","2020-07-07","23","23","23","23","170"
"107","AAMRATECH","2020-07-06","23","23","23","23","10"
"108","AAMRATECH","2020-07-05","23","23","23","23","3"
"109","AAMRATECH","2020-07-02","23","23","23","23","2"
"110","ABB1STMF","2020-08-10","4.4","4.2","4.4","4.2","2"
"111","ABB1STMF","2020-08-09","4.4","4.2","4.3","4.4","236"
"112","ABB1STMF","2020-08-06","4.3","4.2","4.2","4.2","1"
"113","ABB1STMF","2020-08-05","4.2","4.2","4.2","4.2","1"
"114","ABB1STMF","2020-08-04","4.2","4.2","4.2","4.2","117"
"115","ABB1STMF","2020-08-03","4.2","4.2","4.2","4.2","162"
"116","ABB1STMF","2020-07-30","4.2","4.2","4.2","4.2","57"
"117","ABB1STMF","2020-07-29","4.2","4.2","4.2","4.2","338"
"118","ABB1STMF","2020-07-28","4.3","4.2","4.2","4.2","134"
"119","ABB1STMF","2020-07-27","4.2","4.2","4.2","4.2","66"
"120","ABB1STMF","2020-07-26","4.2","4.2","4.2","4.2","66"
"121","ABB1STMF","2020-07-23","4.3","4.2","4.3","4.2","126"
"122","ABB1STMF","2020-07-22","4.3","4.2","4.2","4.2","68"
"123","ABB1STMF","2020-07-21","4.4","4.2","4.2","4.2","85"
"124","ABB1STMF","2020-07-20","4.2","4.2","4.2","4.2","63"
"125","ABB1STMF","2020-07-19","4.2","4.2","4.2","4.2","76"
"126","ABB1STMF","2020-07-16","4.2","4.2","4.2","4.2","78"
"127","ABB1STMF","2020-07-15","4.2","4.2","4.2","4.2","69"
"128","ABB1STMF","2020-07-14","4.2","4.2","4.2","4.2","47"
"129","ABB1STMF","2020-07-13","4.2","4.2","4.2","4.2","62"
"130","ABB1STMF","2020-07-12","4.2","4.2","4.2","4.2","63"
"131","ABB1STMF","2020-07-09","4.2","4.2","4.2","4.2","108"
"132","ABB1STMF","2020-07-08","4.2","4.2","4.2","4.2","67"
"133","ABB1STMF","2020-07-07","4.2","4.2","4.2","4.2","75"
"134","ABB1STMF","2020-07-06","0","0","0","4.2","0"
"135","ABB1STMF","2020-07-05","4.2","4.2","4.2","4.2","55"
"136","ABB1STMF","2020-07-02","0","0","0","4.2","0"
"137","ABBANK","2020-08-10","0","0","0","8.2","0"
"138","ABBANK","2020-08-09","8.3","7.6","7.7","8.2","2"
"139","ABBANK","2020-08-06","7.8","7.4","7.5","7.7","987"
"140","ABBANK","2020-08-05","7.9","7.5","7.9","7.6","1"
"141","ABBANK","2020-08-04","8","7.6","7.6","7.8","1"
"142","ABBANK","2020-08-03","8","7.2","7.3","7.6","1"
"143","ABBANK","2020-07-30","7.3","7","7.1","7.3","371"
"144","ABBANK","2020-07-29","7.2","7","7.1","7.1","443"
"145","ABBANK","2020-07-28","7.2","7","7.1","7.1","238"
"146","ABBANK","2020-07-27","7.2","7","7","7.1","283"
"147","ABBANK","2020-07-26","7.1","6.9","7","7","206"
"148","ABBANK","2020-07-23","7","6.9","6.9","7","48"
"149","ABBANK","2020-07-22","7","6.8","6.9","6.9","504"
"150","ABBANK","2020-07-21","7.1","6.8","6.8","6.9","280"
"151","ABBANK","2020-07-20","7","6.8","6.9","6.9","154"
"152","ABBANK","2020-07-19","7","6.8","6.9","6.9","228"
